category,title,ticketed,venue,blurb,link,socials,contributors,adw_presented,thu 8 oct,tue 13 oct,wed 14 oct,thu 15 oct,fri 16 oct,sat 17 oct,sun 18 oct
EXH,X KEULEMANS,,"Jam Factory, ADL CBD","Presented in partnership with Adelaide University, this exhibition showcases creative works by South Australian designer, artist and researcher Guy Keulemans. In collaboration with leading Australian designers, Keulemans explores the repair, reuse and generative and regenerative processes for environmental sustainability.",,,Guy Keulemans,,,,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm
EXH,"YOKE, OBJECTS FOR HUMANS",,"Michi, ADL CBD","YOKE • objects for human connection • explores the quiet power of handmade objects to draw us back toward one another in a time increasingly shaped by speed, convenience, and digital distance. Ceramics, furniture, vessels, lighting, plants and sculptural works become conduits for human closeness through thoughtful making, shared presence and storytelling.",,,Samantha Agostino; Simon Bajada; Andrew Carvolth; Thomas Carvolth; Miles Dunne; Em Frank; Daniel Guest; Ha Architecture; Alexandra Hirst; Denise Hojdyssek; Takeshi Iue; Joslin Koolen; Alexis Mason; Bridget Saville; Lea Tarakdjian; Eden Wellings,,,,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm
INST,CARDENING CLUB,,"VARIOUS, ADL CBD","Cardening Club playfully juxtaposes Mother Nature with human design. A roving planted vehicle moves through the city during Adelaide Design Week, creating unexpected moments of greenery. Appearing at key events and locations, the installation transforms an object designed for movement into a playful exploration of nature, creativity and urban design.",,,Emma Thomson & Tim Hansford,,,,at 'ADW OPENING',at 'EST OPEN STUDIO',,at 'BENCHED',at 'CARDENING CLUBHOUSE'
INST,LIVING ON THE CEILING,,"Smokelovers, ADL CBD","Living on the ceiling is a lighting family resulting from exploring the relationship between material, memory and transformation. Through the use of ceramics and linen the show exhibits pieces made by imprinting, folding, creasing, bending and tearing porcelain with remnants of French workwear.",,,Eden Wellings,,,,4pm - LATE,5pm opening,4pm - LATE,4pm - LATE,4pm - LATE
INST,TORPOR DAY BED,,"Nudie Jeans, ADL CBD","Torpor seat is an object that investigates the relationship between rest, movement, and material reuse. The project brings together recycled denim textiles developed by Will Cheesman in collaboration with Nudie Jeans, with reclaimed timber sourced and crafted by Oliver Hyde.",,,William Cheesman & Oliver Hyde,,,,10am - 6pm,10am - 6pm,10am - 8pm,10am - 6pm,10am - 6pm
OPEN,CRAFTED HARDWOODS : FACTORY TOUR,,"Crafted Hardwoods, Plympton",,,,,,,,,12pm - 1:30pm,,12pm - 1:30pm,
OPEN,EST OPEN STUDIO,,"EST Studio, ADL CBD",,,,,,,,,5pm - 8pm,,,
OPEN,ESTILO x Miller Knoll : Sit Your Best,,"Estilo, ADL CBD",,,,,,,,9am - 5pm,9am - 5pm,9am - 5pm,,
OPEN,MID-CENTURY HOUSE : OPEN HOUSE,,"Mid-Century House, Lynton",,,,,,,,,,,,2pm - 5.30pm
OPEN,MIXED GOODS : OPEN STUDIO,yes,"Mixed Goods Studios, Kilkenny","Join us at Mixed Goods Studios for a special Adelaide Design Week Open Studio. Wander through the studios, meet the designers, artists and makers behind the work, and gain an insight into their creative processes. Explore works in progress, finished pieces and material experiments by Andrew Carvolth, Dean Toepfer, Danielle Barrie, Sam Gold, Bridget Saville, Carman Skeehan, Joslin Koolen and Thomas Carvolth.",www.mixedgoods.com.au,,Andrew Carvolth; Dean Toepfer; Danielle Barrie; Sam Gold; Bridget Saville; Carman Skeehan; Joslin Koolen; Thomas Carvolth,,,,,,,10am - 4pm,
OPEN,RF LUX LIGHTING,,"1/149 Flinders St, ADL CBD",Showroom launch - Premium Architectural & Decorative Lighting defined by the balance of refined design and technical precision.,,,,,,,9am - 5pm,9am - 5pm,9am - 5pm,,
OPEN,YADURA : OPEN HOUSE,yes,"Yadura Design Studio, Parkside","Yadura is our home and studio in South Australia, a warm, creative space filled with art, sculpture, and stories from Adelaide, the Middle East, and the places we have lived and traveled. More than a studio, it is a house of light, life, and storytelling, where creativity is part of everyday living. This event opens Yadura to friends and community, inviting you to experience a space that carries memory, culture, and imagination.",https://events.humanitix.com/yadura-studio,,Ahmed Elkhalidi and Rua Hashlamoun,,,,,,,11am - 12pm,11am - 12pm
CONV,FROM POLICY TO PLACE,yes,"Nearly Bar, ADL CBD","In 2013, South Australia's Small Venue Licence changed the rules - allowing small bars of limited capacity and trading hours and without the need for lengthily license applications and court costs. — and transformed Adelaide's laneways. This panels discussion explores how that policy shift unleashed a wave of design creativity, turning tight budgets and small footprints into intimate, distinctive venues that reshaped the city's cultural identity.",,,,,6pm - 8pm,,,,,,
CONV,BESPOKE INTENTION,,"Arc Tile Showroom, ADL CBD","Arc Tile Design invites you to discover limitless approaches and applications in Architecture and Design. Join renowned Interior Architect Susanna Bilardo from Enoki Design and Architect Sally Wilson from Archaea Architects. Unveiling a bespoke case study showcasing materiality longevity and shaping the future of the space, presented by Arc Tile Design.",,,Interior Architect Susanna Bilardo from Enoki Design; Architect Sally Wilson from Archaea Architects & Daniella Antonuccio Designer of Arc Tile Design.,,,,,12pm - 2pm,,,
CONV,COVERS AND PAGES,yes,"Imprints, ADL CBD","Presented by Splinter Journal and Pink Shorts Press, as part of Adelaide Design Week 2026. Featuring Tamika Couedor (FutureJuice), Tyrone Ormsby (Person Books, designer of Splinter Journal) and Jess Zeng (ban she, zine maker), in conversation with Emily Hart (Pink Shorts Press). Free to attend. Come along for a glass of wine, an Imprints browse and to discuss everyone's opinions on book covers. Please get in touch with any questions or access requirements.",https://events.humanitix.com/covers-pages-a-publishing-design-chat-presented-by-splinter-journal-pink-shorts-press-adw,,"Tamika Couedor (FutureJuice); Tyrone Ormsby (Person Books, designer of Splinter Journal) and Jess Zeng (ban she, zine maker); in conversation with Emily Hart (Pink Shorts Press)",,,,,6pm - 7pm,,,
CONV,DESIGNING DEEPLY,yes,"JPE Design Studio, ADL CBD","A thought-provoking panel discussion exploring the tension between universal design and designing for specific user needs. The session examines whether creating solutions for everyone can inadvertently dilute effectiveness, and how deeply addressing niche requirements can generate broader societal benefits. When everyone is different, how do we design for anyone?",https://www.eventbrite.com/e/1997945872889?aff=oddtdtcreator,,Dr Nathan James Crane; Eric Cross – Circ Industrial Design; Kiri Bowmer – JPE Design Studio; Keith Dougal – JPE Design Studio (Facilitator),,,,,6pm - 8pm,,,
CONV,DESIGN FOR CARE SYMPOSIUM,,"Dental School, Adelaide University, ADL CBD","The Design for Care exhibition presents design and co-design projects that reimagine how healthcare systems, services, and products are created. Through collaborative work between Adelaide University researchers, designers, healthcare professionals and care-consumers, the exhibition highlights the transformative potential of participatory design research in shaping more responsive, inclusive, and human-centred healthcare.",,,Adelaide University researchers; designers; healthcare professionals and care-consumers,,,,,,3:30pm - 5pm,,
CONV,DESIGNING FUTURES,,"The Forum, Jeffrey Smart, ADL CBD",,,,,,,,,5pm - 7pm,,,
